observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
3ba52,Introduction general,canvas.Screen,0,weiter,keypress(q),response,31954.899999428,750.5,215.3,765.2,32720.099999428,32721.799999237,2024-04-13T03:32:45Z,32732,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/jbaenninger/encoding_immediate/index.html?vp=156&sess=3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 Edg/123.0.0.0",Win32,de,de-CH,Europe/Zurich,-120,1920,1080,1872,910,1872,958,1,production,f5b4a49f956347addd546a832a3327688c2c0fef
3ba52,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,4993.5,32722.399999619,32715.7,32732,37725.5,37726.299999237,2024-04-13T03:32:50Z,37732.1,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,4556.6999992371,37726.599999428,37715.424,37732.1,42288.799999237,42289,2024-04-13T03:32:54Z,42298.7,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,42290.299999237,NA,NA,42288.799999237,42290.5,2024-04-13T03:32:54Z,42298.7,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,4999.9,42295.899999619,42282.1,42298.7,47282.1,47283.099999428,2024-04-13T03:32:59Z,47298.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,deep,flow.Sequence,1_1_0_0,NA,NA,completion,9550,37726.599999428,37715.424,37732.1,47282.1,47283.5,2024-04-13T03:32:59Z,47298.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,47283.599999428,NA,NA,47282.1,47283.699999809,2024-04-13T03:32:59Z,47298.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,task,flow.Sequence,1_1_0,NA,NA,completion,9550,37726.599999428,37715.424,37732.1,47282.1,47283.899999619,2024-04-13T03:32:59Z,47298.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,47284.099999428,NA,NA,47282.1,47284.199999809,2024-04-13T03:32:59Z,47298.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,5277.5999998093,47284.399999619,47282.1,47298.6,52576.199999809,52576.5,2024-04-13T03:33:04Z,52582,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,dereva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,"""Richtig""-Screen",canvas.Screen,1_1_1_1_1,NA,NA,skipped,NA,52577.399999619,NA,NA,52576.199999809,52577.5,2024-04-13T03:33:04Z,52582,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,"""Falsch""-Screen",canvas.Screen,1_1_1_1_2,NA,NA,timeout,4999.9,52578.099999428,52565.428,52582,57565.3,57566.199999809,2024-04-13T03:33:09Z,57581.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,shallow,flow.Sequence,1_1_1_1,NA,NA,completion,10266.7,47284.299999237,47282.1,47298.6,57565.3,57566.5,2024-04-13T03:33:09Z,57581.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,task,flow.Sequence,1_1_1,NA,NA,completion,10266.7,47284,47282.1,47298.6,57565.3,57566.699999809,2024-04-13T03:33:09Z,57581.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,deep,flow.Sequence,1_1_2_0,NA,NA,skipped,NA,57566.799999237,NA,NA,57565.3,57566.899999619,2024-04-13T03:33:09Z,57581.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,Shallow Question,html.Page,1_1_2_1_0,NA,NA,form submission,4144.6,57567.099999428,57565.3,57581.9,61726.5,61726.599999428,2024-04-13T03:33:14Z,61731.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,muhula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,"""Richtig""-Screen",canvas.Screen,1_1_2_1_1,NA,NA,skipped,NA,61727.099999428,NA,NA,61726.5,61727.299999237,2024-04-13T03:33:14Z,61731.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,"""Falsch""-Screen",canvas.Screen,1_1_2_1_2,NA,NA,timeout,5000.2,61727.899999619,61715.3,61731.9,66715.2,66716,2024-04-13T03:33:19Z,66732.1,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,shallow,flow.Sequence,1_1_2_1,NA,NA,completion,9133.3,57567,57565.3,57581.9,66715.2,66716.199999809,2024-04-13T03:33:19Z,66732.1,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,task,flow.Sequence,1_1_2,NA,NA,completion,9133.3,57566.799999237,57565.3,57581.9,66715.2,66716.5,2024-04-13T03:33:19Z,66732.1,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,Deep Question,html.Page,1_1_3_0_0,NA,NA,form submission,2590.9999994278,66716.599999428,66715.2,66732.1,69323.099999428,69323.399999619,2024-04-13T03:33:21Z,69331.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,"""Richtig""-Screen",canvas.Screen,1_1_3_0_1,NA,NA,skipped,NA,69325,NA,NA,69323.099999428,69325.199999809,2024-04-13T03:33:21Z,69331.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,"""Falsch""-Screen",canvas.Screen,1_1_3_0_2,NA,NA,timeout,5000.1,69325.899999619,69315.4,69331.9,74315.3,74316,2024-04-13T03:33:26Z,74332,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,deep,flow.Sequence,1_1_3_0,NA,NA,completion,7583.2,66716.599999428,66715.2,66732.1,74315.3,74316.299999237,2024-04-13T03:33:26Z,74332,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,shallow,flow.Sequence,1_1_3_1,NA,NA,skipped,NA,74316.399999619,NA,NA,74315.3,74316.599999428,2024-04-13T03:33:26Z,74332,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,task,flow.Sequence,1_1_3,NA,NA,completion,7583.2,66716.5,66715.2,66732.1,74315.3,74316.699999809,2024-04-13T03:33:26Z,74332,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,deep,flow.Sequence,1_1_4_0,NA,NA,skipped,NA,74316.799999237,NA,NA,74315.3,74316.899999619,2024-04-13T03:33:26Z,74332,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,Shallow Question,html.Page,1_1_4_1_0,NA,NA,form submission,2514.1999998093,74317,74315.3,74332,76846.199999809,76846.299999237,2024-04-13T03:33:29Z,76848.794,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,"""Richtig""-Screen",canvas.Screen,1_1_4_1_1,NA,NA,skipped,NA,76848.099999428,NA,NA,76846.199999809,76848.299999237,2024-04-13T03:33:29Z,76848.794,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ba52,"""Falsch""-Screen",canvas.Screen,1_1_4_1_2,NA,NA,timeout,5000.006,76848.699999809,76848.794,76848.794,81832.1,81832.899999619,2024-04-13T03:33:34Z,81848.8,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
