observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
94e80,Introduction general,canvas.Screen,0,weiter,keypress(q),response,1172734.836,953.5,366.257,982.764,1173717.6,1173725.6,2023-06-27T11:31:29Z,1173729.869,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/encoding_immediate/index.html?vp=126&sess=3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Zurich,-120,1440,960,1440,761,1440,809,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
94e80,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,4973.4310000716,1173726.1,1173705.456,1173729.869,1178703.3000001,1178704.6,2023-06-27T11:31:34Z,1178718.483,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,1178704.9000001,NA,NA,1178703.3000001,1178705.3000001,2023-06-27T11:31:34Z,1178718.483,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,6994.7170000477,1178705.6,1178698.16,1178718.483,1185713.2,1185713.4000001,2023-06-27T11:31:41Z,1185722.396,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,skipped,NA,1185714.4000001,NA,NA,1185713.2,1185714.4000001,2023-06-27T11:31:41Z,1185722.396,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,timeout,5006.9140000001,1185715.2,1185711.101,1185722.396,1190712.968,1190717.7,2023-06-27T11:31:46Z,1190729.31,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,11994.485,1178705.6,1178698.16,1178718.483,1190712.968,1190718.4000001,2023-06-27T11:31:46Z,1190729.31,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,task,flow.Sequence,1_1_0,NA,NA,completion,11994.485,1178704.9000001,1178698.16,1178718.483,1190712.968,1190718.6,2023-06-27T11:31:46Z,1190729.31,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,3123.3900000476,1190719.3000001,1190712.968,1190729.31,1193852.7,1193852.9000001,2023-06-27T11:31:49Z,1193867.92,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,1193854.8000001,NA,NA,1193852.7,1193855.1,2023-06-27T11:31:49Z,1193867.92,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Falsch""-Screen",canvas.Screen,1_1_1_0_2,NA,NA,timeout,4993.858,1193855.7,1193851.663,1193867.92,1198845.38,1198847,2023-06-27T11:31:54Z,1198861.778,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,deep,flow.Sequence,1_1_1_0,NA,NA,completion,8116.0699999998,1190719.1,1190712.968,1190729.31,1198845.38,1198847.6,2023-06-27T11:31:54Z,1198861.778,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,shallow,flow.Sequence,1_1_1_1,NA,NA,skipped,NA,1198847.7,NA,NA,1198845.38,1198847.9000001,2023-06-27T11:31:54Z,1198861.778,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,task,flow.Sequence,1_1_1,NA,NA,completion,8116.0699999998,1190719,1190712.968,1190729.31,1198845.38,1198848.2,2023-06-27T11:31:54Z,1198861.778,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,deep,flow.Sequence,1_1_2_0,NA,NA,skipped,NA,1198849.1,NA,NA,1198845.38,1198849.3000001,2023-06-27T11:31:54Z,1198861.778,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,Shallow Question,html.Page,1_1_2_1_0,NA,NA,form submission,3919.0220000716,1198849.7,1198845.38,1198861.778,1202780.8000001,1202780.9000001,2023-06-27T11:31:58Z,1202791.784,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Richtig""-Screen",canvas.Screen,1_1_2_1_1,NA,NA,skipped,NA,1202782.8000001,NA,NA,1202780.8000001,1202782.9000001,2023-06-27T11:31:58Z,1202791.784,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Falsch""-Screen",canvas.Screen,1_1_2_1_2,NA,NA,timeout,5000.858,1202783.5,1202770.707,1202791.784,1207775.985,1207777.1,2023-06-27T11:32:03Z,1207792.642,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,shallow,flow.Sequence,1_1_2_1,NA,NA,completion,8914.2070000002,1198849.6,1198845.38,1198861.778,1207775.985,1207777.4000001,2023-06-27T11:32:03Z,1207792.642,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,task,flow.Sequence,1_1_2,NA,NA,completion,8914.2070000002,1198849,1198845.38,1198861.778,1207775.985,1207777.6,2023-06-27T11:32:03Z,1207792.642,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,Deep Question,html.Page,1_1_3_0_0,NA,NA,form submission,2242.7580000954,1207777.8000001,1207775.985,1207792.642,1210035.4000001,1210035.5,2023-06-27T11:32:05Z,1210047.194,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Richtig""-Screen",canvas.Screen,1_1_3_0_1,NA,NA,skipped,NA,1210037.1,NA,NA,1210035.4000001,1210037.2,2023-06-27T11:32:05Z,1210047.194,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Falsch""-Screen",canvas.Screen,1_1_3_0_2,NA,NA,timeout,5000.618,1210037.7,1210030.431,1210047.194,1215031.072,1215033,2023-06-27T11:32:10Z,1215047.812,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,deep,flow.Sequence,1_1_3_0,NA,NA,completion,7238.4299999999,1207777.8000001,1207775.985,1207792.642,1215031.072,1215033.6,2023-06-27T11:32:10Z,1215047.812,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,shallow,flow.Sequence,1_1_3_1,NA,NA,skipped,NA,1215033.8000001,NA,NA,1215031.072,1215034,2023-06-27T11:32:10Z,1215047.812,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,task,flow.Sequence,1_1_3,NA,NA,completion,7238.4299999999,1207777.7,1207775.985,1207792.642,1215031.072,1215034.1,2023-06-27T11:32:10Z,1215047.812,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,deep,flow.Sequence,1_1_4_0,NA,NA,skipped,NA,1215034.3000001,NA,NA,1215031.072,1215034.4000001,2023-06-27T11:32:10Z,1215047.812,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,Shallow Question,html.Page,1_1_4_1_0,NA,NA,form submission,1875.7880000239,1215034.5,1215031.072,1215047.812,1216923.6,1216923.9000001,2023-06-27T11:32:12Z,1216925.486,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,nafasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Richtig""-Screen",canvas.Screen,1_1_4_1_1,NA,NA,skipped,NA,1216927.7,NA,NA,1216923.6,1216927.8000001,2023-06-27T11:32:12Z,1216925.486,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Falsch""-Screen",canvas.Screen,1_1_4_1_2,NA,NA,timeout,4992.898,1216928.3000001,1216909.187,1216925.486,1221901.709,1221902.6,2023-06-27T11:32:17Z,1221918.384,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,shallow,flow.Sequence,1_1_4_1,NA,NA,completion,6853.8970000001,1215034.5,1215031.072,1215047.812,1221901.709,1221902.9000001,2023-06-27T11:32:17Z,1221918.384,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,task,flow.Sequence,1_1_4,NA,NA,completion,6853.8970000001,1215034.3000001,1215031.072,1215047.812,1221901.709,1221903.2,2023-06-27T11:32:17Z,1221918.384,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,Deep Question,html.Page,1_1_5_0_0,NA,NA,form submission,4377.8160000476,1221903.3000001,1221901.709,1221918.384,1226296.2,1226296.4000001,2023-06-27T11:32:21Z,1226323.5,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Richtig""-Screen",canvas.Screen,1_1_5_0_1,NA,NA,skipped,NA,1226298.3000001,NA,NA,1226296.2,1226298.3000001,2023-06-27T11:32:21Z,1226323.5,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Falsch""-Screen",canvas.Screen,1_1_5_0_2,NA,NA,timeout,4995.446,1226298.9000001,1226306.829,1226323.5,1231302.555,1231303.5,2023-06-27T11:32:26Z,1231318.946,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,deep,flow.Sequence,1_1_5_0,NA,NA,completion,9384.1709999999,1221903.3000001,1221901.709,1221918.384,1231302.555,1231303.8000001,2023-06-27T11:32:26Z,1231318.946,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,shallow,flow.Sequence,1_1_5_1,NA,NA,skipped,NA,1231304,NA,NA,1231302.555,1231304.1,2023-06-27T11:32:26Z,1231318.946,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,task,flow.Sequence,1_1_5,NA,NA,completion,9384.1709999999,1221903.2,1221901.709,1221918.384,1231302.555,1231304.3000001,2023-06-27T11:32:26Z,1231318.946,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,block,flow.Loop,1_1,NA,NA,completion,52584.072,1178704.9000001,1178698.16,1178718.483,1231302.555,1231304.5,2023-06-27T11:32:26Z,1231318.946,"c(""distractor1"", ""distractor2"", ""distractor3"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,Practice,flow.Sequence,1,NA,NA,completion,57572.686,1173726.1,1173705.456,1173729.869,1231302.555,1231304.7,2023-06-27T11:32:26Z,1231318.946,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,Experiment start,canvas.Screen,2,weiter,keypress(q),response,36776.754000048,1231304.9000001,1231302.555,1231318.946,1268095.7,1268101,2023-06-27T11:33:03Z,1268200.691,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,deep,flow.Sequence,3_0_0_0_0_0,NA,NA,skipped,NA,1268188.4000001,NA,NA,1268095.7,1268188.5,2023-06-27T11:33:03Z,1268200.691,NULL,Prüfung,mtihani,s,mkulima,mtizamo,ufumbuzi,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,Shallow Question,html.Page,3_0_0_0_0_1_0,NA,NA,form submission,9683.7090000953,1268188.6,1268174.092,1268200.691,1277884.4000001,1277884.6,2023-06-27T11:33:13Z,1277895.086,NULL,Prüfung,mtihani,s,mkulima,mtizamo,ufumbuzi,mtihani,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Richtig""-Screen",canvas.Screen,3_0_0_0_0_1_1,NA,NA,timeout,4995.7830000001,1277886.5,1277881.599,1277895.086,1282874.428,1282875.4000001,2023-06-27T11:33:18Z,1282890.869,NULL,Prüfung,mtihani,s,mkulima,mtizamo,ufumbuzi,NA,sdf,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Falsch""-Screen",canvas.Screen,3_0_0_0_0_1_2,NA,NA,skipped,NA,1282880.4000001,NA,NA,1282874.428,1282880.9000001,2023-06-27T11:33:18Z,1282890.869,NULL,Prüfung,mtihani,s,mkulima,mtizamo,ufumbuzi,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,shallow,flow.Sequence,3_0_0_0_0_1,NA,NA,completion,14673.737,1268188.6,1268174.092,1268200.691,1282874.428,1282881.1,2023-06-27T11:33:18Z,1282890.869,NULL,Prüfung,mtihani,s,mkulima,mtizamo,ufumbuzi,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,task,flow.Sequence,3_0_0_0_0,NA,NA,completion,14673.737,1268188.4000001,1268174.092,1268200.691,1282874.428,1282881.3000001,2023-06-27T11:33:18Z,1282890.869,NULL,Prüfung,mtihani,s,mkulima,mtizamo,ufumbuzi,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,Deep Question,html.Page,3_0_0_0_1_0_0,NA,NA,form submission,3145.5310000954,1282881.4000001,1282874.428,1282890.869,1286036.4000001,1286036.6,2023-06-27T11:33:21Z,1286043.217,NULL,Kultur,utamaduni,d,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Richtig""-Screen",canvas.Screen,3_0_0_0_1_0_1,NA,NA,skipped,NA,1286038.1,NA,NA,1286036.4000001,1286038.3000001,2023-06-27T11:33:21Z,1286043.217,NULL,Kultur,utamaduni,d,NA,NA,NA,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Falsch""-Screen",canvas.Screen,3_0_0_0_1_0_2,NA,NA,timeout,4998.2660000001,1286038.7,1286026.786,1286043.217,1291024.93,1291025.7,2023-06-27T11:33:26Z,1291041.483,NULL,Kultur,utamaduni,d,NA,NA,NA,NA,sdf,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,deep,flow.Sequence,3_0_0_0_1_0,NA,NA,completion,8134.061,1282881.4000001,1282874.428,1282890.869,1291024.93,1291026,2023-06-27T11:33:26Z,1291041.483,NULL,Kultur,utamaduni,d,NA,NA,NA,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,shallow,flow.Sequence,3_0_0_0_1_1,NA,NA,skipped,NA,1291026.7,NA,NA,1291024.93,1291026.8000001,2023-06-27T11:33:26Z,1291041.483,NULL,Kultur,utamaduni,d,NA,NA,NA,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,task,flow.Sequence,3_0_0_0_1,NA,NA,completion,8134.061,1282881.3000001,1282874.428,1282890.869,1291024.93,1291027,2023-06-27T11:33:26Z,1291041.483,NULL,Kultur,utamaduni,d,NA,NA,NA,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,deep,flow.Sequence,3_0_0_0_2_0,NA,NA,skipped,NA,1291027.1,NA,NA,1291024.93,1291027.4000001,2023-06-27T11:33:26Z,1291041.483,NULL,Beweis,ushahidi,s,marudio,kizuizi,mtendaji,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,Shallow Question,html.Page,3_0_0_0_2_1_0,NA,NA,form submission,4317.8170000715,1291027.5,1291024.93,1291041.483,1295359.3000001,1295359.6,2023-06-27T11:33:30Z,1295370.398,NULL,Beweis,ushahidi,s,marudio,kizuizi,mtendaji,marudio,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Richtig""-Screen",canvas.Screen,3_0_0_0_2_1_1,NA,NA,skipped,NA,1295361.2,NA,NA,1295359.3000001,1295361.3000001,2023-06-27T11:33:30Z,1295370.398,NULL,Beweis,ushahidi,s,marudio,kizuizi,mtendaji,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Falsch""-Screen",canvas.Screen,3_0_0_0_2_1_2,NA,NA,timeout,4999.9309999999,1295361.7,1295349.771,1295370.398,1300353.612,1300354.5,2023-06-27T11:33:35Z,1300370.329,NULL,Beweis,ushahidi,s,marudio,kizuizi,mtendaji,NA,sdf,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,shallow,flow.Sequence,3_0_0_0_2_1,NA,NA,completion,9312.129,1291027.5,1291024.93,1291041.483,1300353.612,1300354.9000001,2023-06-27T11:33:35Z,1300370.329,NULL,Beweis,ushahidi,s,marudio,kizuizi,mtendaji,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,task,flow.Sequence,3_0_0_0_2,NA,NA,completion,9312.129,1291027.1,1291024.93,1291041.483,1300353.612,1300355.1,2023-06-27T11:33:35Z,1300370.329,NULL,Beweis,ushahidi,s,marudio,kizuizi,mtendaji,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,deep,flow.Sequence,3_0_0_0_3_0,NA,NA,skipped,NA,1300355.3000001,NA,NA,1300353.612,1300355.4000001,2023-06-27T11:33:35Z,1300370.329,NULL,Aufstand,ugomaji,s,mazidio,msingi,kujieleza,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,Shallow Question,html.Page,3_0_0_0_3_1_0,NA,NA,form submission,9847.6710000001,1300355.5,1300353.612,1300370.329,1310218,1310218.1,2023-06-27T11:33:45Z,1310228.546,NULL,Aufstand,ugomaji,s,mazidio,msingi,kujieleza,mazidio,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Richtig""-Screen",canvas.Screen,3_0_0_0_3_1_1,NA,NA,skipped,NA,1310219.7,NA,NA,1310218,1310219.8000001,2023-06-27T11:33:45Z,1310228.546,NULL,Aufstand,ugomaji,s,mazidio,msingi,kujieleza,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,"""Falsch""-Screen",canvas.Screen,3_0_0_0_3_1_2,NA,NA,timeout,5005.7759999998,1310220.2,1310201.948,1310228.546,1315217.993,1315220.6,2023-06-27T11:33:50Z,1315234.322,NULL,Aufstand,ugomaji,s,mazidio,msingi,kujieleza,NA,sdf,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,shallow,flow.Sequence,3_0_0_0_3_1,NA,NA,completion,14847.664,1300355.5,1300353.612,1300370.329,1315217.993,1315221.6,2023-06-27T11:33:50Z,1315234.322,NULL,Aufstand,ugomaji,s,mazidio,msingi,kujieleza,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,task,flow.Sequence,3_0_0_0_3,NA,NA,completion,14847.664,1300355.2,1300353.612,1300370.329,1315217.993,1315221.8000001,2023-06-27T11:33:50Z,1315234.322,NULL,Aufstand,ugomaji,s,mazidio,msingi,kujieleza,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94e80,deep,flow.Sequence,3_0_0_0_4_0,NA,NA,skipped,NA,1315222,NA,NA,1315217.993,1315222.2,2023-06-27T11:33:50Z,1315234.322,NULL,Polizist,msongora,s,simanzi,mandhari,nidhamu,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
