observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
0ed45,Introduction general,canvas.Screen,0,weiter,keypress(q),response,77756.347999928,1162.8999999762,1103.828,1170.352,78926.699999928,78928.599999905,2023-11-11T08:41:43Z,78936.984,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/jbaenninger/encoding_immediate/index.html?vp=150&sess=1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0",Win32,de,de-CH,Europe/Zurich,-60,1920,1080,1872,910,1872,958,1,production,f5b4a49f956347addd546a832a3327688c2c0fef
0ed45,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,20440.215999928,78928.799999952,78914.141,78936.984,99377.199999928,99377.699999928,2023-11-11T08:42:03Z,99386.973,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ed45,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,16611.626999905,99377.799999952,99370.697,99386.973,115998.5999999,115998.69999993,2023-11-11T08:42:20Z,116003.56,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,satten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ed45,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,115999.39999998,NA,NA,115998.5999999,115999.5,2023-11-11T08:42:20Z,116003.56,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ed45,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,5000.088,116000,115987.958,116003.56,120987.081,120989.5,2023-11-11T08:42:25Z,121003.648,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ed45,deep,flow.Sequence,1_1_0_0,NA,NA,completion,21600.108,99377.799999952,99370.697,99386.973,120987.081,120989.5999999,2023-11-11T08:42:25Z,121003.648,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ed45,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,120989.5999999,NA,NA,120987.081,120989.5999999,2023-11-11T08:42:25Z,121003.648,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ed45,task,flow.Sequence,1_1_0,NA,NA,completion,21600.108,99377.799999952,99370.697,99386.973,120987.081,120989.69999993,2023-11-11T08:42:25Z,121003.648,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ed45,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,9274.2519999762,120989.79999995,120987.081,121003.648,130277.89999998,130278.19999993,2023-11-11T08:42:34Z,130286.915,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,Ouvali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ed45,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,130279.29999995,NA,NA,130277.89999998,130279.39999998,2023-11-11T08:42:34Z,130286.915,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
